,age_classes,male_cases,male_deaths,female_cases,female_deaths,total_cases,total_deaths,piemonte_cases,lombardia_cases,veneto_cases,emilia-romagna_cases,valleaosta_cases,trento_cases,friuli-veneziagiulia_cases,liguria_cases,toscana_cases,umbria_cases,marche_cases,lazio_cases,abruzzo_cases,molise_cases,campania_cases,puglia_cases,sicilia_cases,sardegna_cases
0,0-9,381,0,307,0,693,0,35,205,90,73,9,19,12,16,56,22,20,35,16,1,17,21,12,7
1,10-19,475,0,454,0,931,0,29,170,164,131,7,27,33,18,66,20,29,48,41,7,30,34,23,8
2,20-29,1919,4,2531,2,4530,6,311,1494,715,619,32,128,107,64,167,65,127,152,62,6,102,117,59,23
3,30-39,3505,22,3885,7,7466,29,479,2778,879,1075,41,202,143,137,264,96,265,283,124,12,138,195,85,70
4,40-49,6480,81,7130,29,13701,110,1021,5436,1460,1982,76,365,229,219,523,111,472,436,238,22,203,298,147,115
5,50-59,11149,377,9706,100,20975,479,1634,8866,2182,2772,82,476,315,433,825,191,725,654,267,47,303,445,241,126
6,60-69,11761,1144,6254,299,18089,1448,1436,8266,1483,2410,69,333,220,377,701,139,630,507,300,28,268,353,190,93
7,70-79,12281,3146,6868,1041,19238,4196,1551,9651,1303,2663,83,320,218,466,661,96,642,450,204,13,176,271,133,79
8,80-89,8553,3259,7644,1767,16252,5029,1345,7631,1371,2294,69,322,204,447,525,54,659,396,151,16,101,260,79,76
9,>90,1374,558,2973,692,4356,1251,289,1553,545,721,25,138,110,118,176,10,236,123,39,7,28,78,28,34
10,Uknown,84,1,81,1,168,2,3,21,0,1,5,0,3,16,4,2,10,4,5,0,28,5,50,4
